Rank	Points	 Country	Teams
1	6400	TW	217
2	6100	CN	AAA
3	5800	JP	Bluemermaid
4	5600	JP	binja
5	5600	CN	0xee
6	5500	US	Shellphish
7	5500	PL	p4
8	5500	TW	HITCON
9	5300	US	PPP
10	5300	CN	lotus-pig
11	5300	JP	dodododo
12	5200	TW	Balsn
13	5200	RU	Bushwhackers
14	5100	US	OpenToAll
15	5000	CG	0daysober
16	4700	UA	dcua
17	4700	JP	TokyoWesterns
18	4600	KR	CodeRed
19	4400	RO	PwnThyBytes
20	4300	KR	GYG
21	4300	CN	TCW
22	4200	KR	Thomas
23	4100	JP	TSG
24	4100	KR	leeg0ng
25	3900	KR	KAIST GoN
26	3800	KR	LeaveCat
27	3800	KR	SpongeBoB
28	3800	DE	hxp
29	3700	VN	MeePwn
30	3700	PL	Dragon Sector
31	3700	JP	noraneco
32	3500	DE	Tasteless
33	3500	CH	tscheschtsch
34	3500	VN	PiggyBird
35	3500	TH	Craft n' Capture
36	3300	DE	FluxFingers
37	3200	KR	CAT-Security
38	3200	CN	Azure Admirer Agency (AAA)
39	3200	HU	!SpamAndHex
40	3100	US	r00timentary
41	3100	PL	Made In MIM
42	3000	FR	sec0d
43	3000	JP	ids-TeamCC
44	3000	JP	p3r0z
45	2800	TW	BaR
46	2700	JP	vuls
47	2700	CN	HackXore
48	2700	IR	ASIS
49	2700	TR	W2B
50	2600	JP	Team Enu
51	2600	JP	f09f93a6
52	2600	US	NYUSEC
53	2600	JP	8710*IQ
54	2500	FR	pony7
55	2500	PL	Just Hit the Core
56	2500	KR	SSAT
57	2500	JP	wight
58	2500	JP	superflip
59	2500	RU	Lights Out
60	2400	TW	KerKerYuan
61	2400	US	pearl
62	2300	IT	TheRomanXpl0it
63	2300	CA	The Northern Coalition
64	2300	GB	Ox002147
65	2300	JP	fi
66	2300	AT	defragmented.brains
67	2300	JP	T1pst4r
68	2300	HK	g33z
69	2300	US	Nightmare Mechasheep
70	2200	JP	NaruseJun
71	2200	JP	m1z0r3
72	2200	JP	negainoido
73	2100	JP	killswitch
74	2100	JP	RecNets
75	2100	JP	SSR_CTF_BU
76	2000	JP	YOKARO-MON
77	2000	JP	int0x80
78	2000	JP	AIR3
79	2000	CN	Xp0int
80	1900	JP	shpx
81	1900	ES	w0pr
82	1900	IT	fuffateam
83	1900	JP	Lab/stay night
84	1900	JP	yharima
85	1900	JP	Suicabar
86	1900	ID	JAV
87	1800	KR	Hayyim
88	1800	IT	vimvaders
89	1800	FR	secufd
90	1800	CN	0x0C113F04
91	1800	CN	13+1K
92	1800	VN	ISITDTU
93	1700	JP	urchin
94	1700	TW	BambooFox
95	1700	BR	FireShell
96	1700	KG	0x34044
97	1700	JP	ToyPoodleBites
98	1700	JP	Ten*48
99	1600	BE	HacknamStyle
100	1600	JP	master_thesis
101	1600	ID	CSI
102	1600	AT	We_0wn_Y0u
103	1600	JP	RCC
104	1600	PL	KontoXuje
105	1600	JP	KatsuDon14
106	1600	JP	chibanian
107	1600	SG	T0X1C V4P0R
108	1600	EG	wild
109	1600	JP	nw
110	1600	JP	RicknR011
111	1600	JP	TeamAZ
112	1600	JP	BlackBird
113	1600	JP	katagaitai
114	1600	JP	B0NG0RE
115	1600	CN	Dreamtale
116	1600	US	glua.team
117	1600	JP	M4lk0v
118	1600	JP	ICSCoE
119	1500	TW	ADLNooooobQQ
120	1500	NO	Inshallhack
121	1500	LU	badfirmware
122	1500	JP	Pierre
123	1500	PT	TeamRocketIst
124	1500	JP	merpolice
125	1500	HK	vxrl
126	1500	JP	elab
127	1500	JP	Team JM
128	1400	VN	ACEBEAR
129	1400	DK	UN1CUM
130	1400	AT	WeAreScientists
131	1400	DK	Pwnies
132	1400	KR	$wag
133	1400	AQ	MV9rwGOf08
134	1400	KR	TenDollar
135	1400	US	NASA Rejects
136	1400	JP	nanimodekinai
137	1300	RU	WD-40
138	1300	BR	ELT
139	1300	JP	enTaris
140	1300	DZ	Sudo_root
141	1300	RU	FacePawn
142	1300	KR	^_____________________________^
143	1300	CZ	SecPPL
144	1300	JP	Yellow_Skin_hacKer
145	1300	GB	TimberOwls
146	1300	CN	Blue-Whale
147	1300	TW	mitv
148	1300	AU	LokiSec
149	1300	SG	kopipacket
150	1300	JP	sakulabs
151	1300	JP	avspybhq
152	1300	CA	0xD13A
153	1200	JP	urandom
154	1200	KR	ARGOS
155	1200	JP	opsv-go
156	1200	DZ	numidians
157	1200	VN	DaPhuc
158	1200	US	im in ur cloud
159	1200	TV	One Punch Men
160	1200	TW	TFcis
161	1200	PL	kerouac
162	1200	FR	MhackGyver
163	1200	RU	EpicTeam
164	1200	SK	piv0piv0p0st3l
165	1200	JP	DokuDempa
